Category;product;Date;Price per unit;Count;promocode
Хлебобулочные изделия;Торты;10.03.2022;265.0;23.0;То10ты30
Напитки;Прохладительные напитки;03.04.2022;191.0;16.0;Пр03ки40
Закуски;Шоколадные конфеты;11.04.2022;71.0;6.0;Шо11ты40
Фрукты и овощи;Свежие фрукты;04.02.2022;122.0;11.0;Св04ты20
Пищевые злаки;Крупа;07.05.2022;288.0;24.0;Кр07па50
Масло;Подсолнечное масло;14.03.2022;197.0;17.0;По14ло30
Напитки;Напитки для здоровья;09.03.2022;68.0;6.0;На09ья30
Закуски;Печенье;14.06.2022;67.0;6.0;Пе14ье60
Яйца, мясо и рыба;Яйца;15.01.2022;70.0;6.0;Яй15ца10
Фрукты и овощи;Свежие фрукты;04.05.2022;148.0;13.0;Св04ты50
Пищевые злаки;Крупы и бобовые;12.05.2022;186.0;16.0;Кр12ые50
Хлебобулочные изделия;Хлеб и булочки;03.03.2022;278.0;24.0;Хл03ки30
Масло;Топленое масло;17.06.2022;270.0;23.0;То17ло60
Фрукты и овощи;Свежие овощи;24.04.2022;145.0;13.0;Св24щи40
Закуски;Лапша;13.04.2022;303.0;26.0;Ла13ша40
Закуски;Шоколадные конфеты;11.06.2022;164.0;14.0;Шо11ты60
Фрукты и овощи;Органические фрукты;02.04.2022;116.0;10.0;Ор02ты40
Фрукты и овощи;Органические овощи;01.04.2022;123.0;11.0;Ор01щи40
Пищевые злаки;Рис;28.06.2022;113.0;10.0;Ри28ис60
Яйца, мясо и рыба;Курица;04.02.2022;155.0;13.0;Ку04ца20
Фрукты и овощи;Органические овощи;09.04.2022;156.0;13.0;Ор09щи40
Хлебобулочные изделия;Торты;20.06.2022;82.0;7.0;То20ты60
Яйца, мясо и рыба;Баранина;25.04.2022;295.0;25.0;Ба25на40
Напитки;Безалкогольные напитки;20.02.2022;181.0;16.0;Бе20ки20
Выпечка;Хлеб и булочки;20.03.2022;122.0;11.0;Хл20ки30
Фрукты и овощи;Органические овощи;05.01.2022;112.0;10.0;Ор05щи10
Яйца, мясо и рыба;Баранина;06.02.2022;294.0;25.0;Ба06на20
Масло;Специи;16.06.2022;162.0;14.0;Сп16ии60
Пищевые злаки;Рис;06.04.2022;183.0;16.0;Ри06ис40
Пищевые злаки;Мука;31.05.2022;226.0;19.0;Му31ка50
Закуски;Шоколадные конфеты;21.05.2022;158.0;14.0;Шо21ты50
Напитки;Прохладительные напитки;17.05.2022;264.0;22.0;Пр17ки50
Яйца, мясо и рыба;Рыба;23.05.2022;80.0;7.0;Ры23ба50
Хлебобулочные изделия;Торты;07.06.2022;208.0;18.0;То07ты60
Напитки;Напитки для здоровья;12.06.2022;297.0;25.0;На12ья60
Фрукты и овощи;Органические фрукты;12.02.2022;179.0;15.0;Ор12ты20
Масло;Специи;22.03.2022;235.0;20.0;Сп22ии30
Яйца, мясо и рыба;Яйца;31.05.2022;109.0;10.0;Яй31ца50
Закуски;Лапша;10.02.2022;138.0;12.0;Ла10ша20
Яйца, мясо и рыба;Баранина;16.02.2022;136.0;12.0;Ба16на20
Хлебобулочные изделия;Печенье;24.05.2022;109.0;10.0;Пе24ье50
Масло;Подсолнечное масло;26.05.2022;311.0;26.0;По26ло50
Пищевые злаки;Мука;10.05.2022;167.0;14.0;Му10ка50
Яйца, мясо и рыба;Рыба;16.05.2022;96.0;8.0;Ры16ба50
Яйца, мясо и рыба;Баранина;07.03.2022;301.0;26.0;Ба07на30
Масло;Топленое масло;06.03.2022;194.0;17.0;То06ло30
Пищевые злаки;Органические основные продукты питания;09.05.2022;196.0;17.0;Ор09ия50
Фрукты и овощи;Свежие овощи;30.01.2022;141.0;12.0;Св30щи10
Напитки;Напитки для здоровья;27.03.2022;96.0;8.0;На27ья30
Яйца, мясо и рыба;Рыба;19.05.2022;249.0;21.0;Ры19ба50
Пищевые злаки;Рис;09.04.2022;286.0;24.0;Ри09ис40
Закуски;Шоколадные конфеты;22.01.2022;127.0;11.0;Шо22ты10
Закуски;Печенье;28.05.2022;107.0;9.0;Пе28ье50
Пищевые злаки;Органические продукты питания;15.02.2022;155.0;13.0;Ор15ия20
Закуски;Лапша;25.02.2022;280.0;24.0;Ла25ша20
Фрукты и овощи;Свежие овощи;17.02.2022;274.0;23.0;Св17щи20
Закуски;Печенье;24.04.2022;140.0;12.0;Пе24ье40
Масло;Топленое масло;24.03.2022;222.0;19.0;То24ло30
Напитки;Прохладительные напитки;07.04.2022;296.0;25.0;Пр07ки40
Пищевые злаки;Бобовые и макаронные культуры;27.03.2022;186.0;16.0;Бо27ры30
Напитки;Безалкогольные напитки;09.04.2022;90.0;8.0;Бе09ки40
Яйца, мясо и рыба;Рыба;14.04.2022;93.0;8.0;Ры14ба40
Закуски;Шоколадные конфеты;03.06.2022;126.0;11.0;Шо03ты60
Закуски;Печенье;07.01.2022;190.0;16.0;Пе07ье10
Зерновые продукты;Мука;26.06.2022;181.0;16.0;Му26ка60
Напитки;Напитки для здоровья;04.01.2022;212.0;11.0;На04ья10
Закуски;Шоколадные конфеты;27.05.2022;253.0;13.0;Шо27ты50
Яйца, мясо и рыба;Баранина;04.04.2022;293.0;15.0;Ба04на40
Масло;Специи;17.04.2022;89.0;5.0;Сп17ии40
Яйца, мясо и рыба;Курица;25.04.2022;152.0;8.0;Ку25ца40
Пищевые злаки;Крупа;02.02.2022;69.0;4.0;Кр02па20
Напитки;Напитки для здоровья;02.02.2022;177.0;9.0;На02ья20
Пищевые злаки;Крупа;10.02.2022;99.0;5.0;Кр10па20
Фрукты и овощи;Органические овощи;27.02.2022;310.0;16.0;Ор27щи20
Фрукты и овощи;Свежие овощи;29.06.2022;219.0;11.0;Св29щи60
Фрукты и овощи;Органические фрукты;10.02.2022;247.0;13.0;Ор10ты20
Масло;Специи;19.02.2022;254.0;13.0;Сп19ии20
Закуски;Лапша;03.04.2022;127.0;7.0;Ла03ша40
Фрукты и овощи;Органические фрукты;10.06.2022;87.0;5.0;Ор10ты60
Пищевые злаки;Мука;26.03.2022;166.0;9.0;Му26ка30
Закуски;Печенье;23.05.2022;201.0;11.0;Пе23ье50
Напитки;Напитки для здоровья;15.06.2022;215.0;11.0;На15ья60
Масло;Топленое масло;30.05.2022;273.0;14.0;То30ло50
Пищевые злаки;Органические основные продукты питания;17.02.2022;73.0;4.0;Ор17ия20
Пищевые злаки;Крупа;19.01.2022;98.0;5.0;Кр19па10
Снеки;Лапша;11.03.2022;174.0;9.0;Ла11ша30
Хлебобулочные изделия;Торты;28.06.2022;283.0;15.0;То28ты60
Напитки;Прохладительные напитки;24.04.2022;102.0;6.0;Пр24ки40
Фрукты и овощи;Органические фрукты;18.02.2022;252.0;13.0;Ор18ты20
Напитки;Прохладительные напитки;25.06.2022;180.0;9.0;Пр25ки60
Фрукты и овощи;Органические фрукты;26.06.2022;262.0;14.0;Ор26ты60
Фрукты и овощи;Свежие овощи;08.04.2022;269.0;14.0;Св08щи40
Напитки;Напитки для здоровья;27.05.2022;247.0;13.0;На27ья50
Масло;Подсолнечное масло;30.03.2022;258.0;13.0;По30ло30
Яйца, мясо и рыба;Яйца;27.04.2022;147.0;8.0;Яй27ца40
Масло;Топленое масло;16.06.2022;126.0;7.0;То16ло60
Хлебобулочные изделия;Хлеб и булочки;12.01.2022;177.0;9.0;Хл12ки10
Пищевые злаки;Органические продукты питания;05.05.2022;115.0;6.0;Ор05ия50
Яйца, мясо и рыба;Баранина;12.01.2022;169.0;9.0;Ба12на10
